month,total_orders,late_orders,late_rate_pct,avg_score,avg_processing_days
2016-09,3,3,100.0,1.00,53.00
2016-10,317,2,0.6,3.91,13.80
2016-12,1,0,0.0,5.00,4.00
2017-01,924,24,2.6,4.17,3.65
2017-02,1869,58,3.1,4.18,3.90
2017-03,2917,136,4.7,4.13,3.33
2017-04,2577,161,6.2,4.10,3.81
2017-05,4047,128,3.2,4.20,3.17
2017-06,3524,103,2.9,4.19,3.25
2017-07,4460,135,3.0,4.18,3.13
2017-08,4851,135,2.8,4.28,2.98
2017-09,4771,208,4.4,4.19,3.14
2017-10,5256,204,3.9,4.10,3.34
2017-11,8536,1014,11.9,3.90,4.04
2017-12,6214,454,7.3,4.01,3.63
2018-01,8088,465,5.7,4.00,3.64
2018-02,7617,1056,13.9,3.78,3.63
2018-03,8064,1452,18.0,3.74,3.32
2018-04,7838,319,4.1,4.11,2.85
2018-05,7819,495,6.3,4.16,2.77
2018-06,7013,81,1.2,4.21,2.66
2018-07,6982,228,3.3,4.27,2.96
2018-08,7144,432,6.0,4.25,2.59
